LotArea,Neighborhood,OverallQual,YearBuilt,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,SalePrice
3230,Somerst,6,1999,MetalSd,TA,PConc,Gd,GLQ,419,310,729,Gd,SBrkr,729,729,0,1458,0,2,TA,5,1,Fa,Detchd,Unf,440,TA,0,32,176000
11616,Sawyer,5,1962,Wd Sdng,TA,CBlock,TA,LwQ,170,252,1092,TA,SBrkr,1092,0,0,1092,0,1,TA,6,1,Po,Attchd,Unf,288,TA,0,20,139000
8536,Edwards,5,2006,VinylSd,TA,PConc,Gd,Unf,0,1125,1125,Gd,SBrkr,1125,0,0,1125,0,1,TA,5,0,NA,Attchd,Unf,430,TA,80,64,155000
12376,SawyerW,7,1990,Plywood,TA,PConc,Gd,GLQ,1470,203,1673,Gd,SBrkr,1699,1523,0,3222,1,3,Gd,11,2,TA,Attchd,Unf,594,TA,367,0,320000
8461,CollgCr,6,2005,VinylSd,Gd,PConc,Gd,Unf,0,728,728,Ex,SBrkr,728,728,0,1456,0,2,Gd,8,1,Gd,Attchd,Fin,390,TA,0,24,163990
21453,ClearCr,6,1969,Plywood,TA,CBlock,TA,ALQ,938,0,938,Ex,SBrkr,988,0,0,988,1,1,TA,4,2,TA,Attchd,Unf,540,TA,0,130,180000
3684,Blmngtn,7,2007,VinylSd,Gd,PConc,Gd,Unf,0,1373,1373,Ex,SBrkr,1555,0,0,1555,0,2,Gd,7,1,TA,Attchd,Fin,660,TA,143,20,174000
14572,Gilbert,7,2004,VinylSd,Gd,PConc,Gd,GLQ,1300,230,1530,Ex,SBrkr,1530,0,0,1530,1,2,Gd,7,1,Gd,Attchd,Fin,630,TA,144,36,259000
11796,Gilbert,7,2004,VinylSd,Gd,PConc,Gd,Unf,0,847,847,Ex,SBrkr,847,1112,0,1959,0,2,Gd,8,1,Gd,BuiltIn,Fin,434,TA,100,48,215000
7200,OldTown,5,1980,MetalSd,TA,CBlock,Gd,GLQ,936,0,936,TA,SBrkr,936,0,0,936,1,1,TA,4,0,NA,Detchd,Unf,672,TA,49,0,140000
7804,SWISU,4,1928,WdShing,TA,BrkTil,TA,BLQ,622,500,1122,TA,SBrkr,1328,653,0,1981,1,2,Gd,7,2,TA,Detchd,Unf,576,TA,431,44,135000
10712,Mitchel,5,1991,HdBoard,TA,PConc,Gd,BLQ,212,762,974,TA,SBrkr,974,0,0,974,0,1,TA,5,0,NA,NA,NA,0,NA,0,28,93500
9900,OldTown,6,1880,Wd Sdng,TA,BrkTil,TA,Unf,0,1008,1008,TA,SBrkr,1178,1032,0,2210,0,2,Fa,8,0,NA,Detchd,Unf,205,Fa,0,48,117500
9828,SawyerW,8,1995,VinylSd,Gd,PConc,Gd,GLQ,584,544,1128,Ex,SBrkr,1142,878,0,2020,0,2,Gd,8,1,TA,Attchd,RFn,466,TA,0,155,239500
8773,Gilbert,6,1997,VinylSd,TA,PConc,Gd,Unf,0,916,916,Gd,SBrkr,916,684,0,1600,0,2,TA,7,1,TA,Attchd,Fin,460,TA,100,38,169000
6180,BrkSide,6,1926,Wd Sdng,TA,BrkTil,TA,Unf,0,960,960,TA,SBrkr,986,0,0,986,0,1,TA,5,1,Gd,Detchd,Unf,180,TA,0,128,102000
9600,NAmes,6,1950,VinylSd,TA,CBlock,TA,BLQ,280,752,1032,TA,FuseA,1032,220,0,1252,0,1,TA,6,0,NA,Attchd,Unf,288,TA,0,0,119000
9120,NWAmes,6,1974,HdBoard,Gd,CBlock,TA,ALQ,442,459,901,TA,SBrkr,943,933,0,1876,0,2,Gd,8,1,TA,Attchd,RFn,540,Gd,0,69,185000
2280,NPkVill,6,1978,Plywood,TA,CBlock,Gd,ALQ,311,544,855,Fa,SBrkr,855,601,0,1456,0,2,TA,7,1,TA,Attchd,Unf,440,TA,26,0,146000
14778,Crawfor,6,1954,HdBoard,Gd,CBlock,TA,BLQ,728,568,1296,Ex,SBrkr,1640,0,0,1640,1,1,Gd,7,1,Gd,Detchd,Unf,924,TA,108,0,224000
8724,Sawyer,5,1968,VinylSd,TA,CBlock,Gd,BLQ,492,402,894,Gd,SBrkr,894,0,0,894,0,1,TA,5,1,Po,Attchd,Fin,450,TA,0,0,129000
12900,Sawyer,4,1969,Plywood,TA,CBlock,Gd,GLQ,1198,0,1198,TA,SBrkr,1258,0,0,1258,2,0,TA,6,0,NA,CarPort,Unf,400,Fa,120,0,108959
16157,Veenker,5,1978,Plywood,TA,PConc,Gd,ALQ,680,289,1360,Ex,SBrkr,1432,0,0,1432,1,1,Gd,5,1,TA,Attchd,Unf,588,TA,168,180,194000
9541,NridgHt,7,2009,VinylSd,Gd,PConc,Gd,Unf,0,1502,1502,Ex,SBrkr,1502,0,0,1502,0,2,Gd,7,0,NA,Attchd,RFn,644,TA,0,114,233170
10475,CollgCr,8,2008,VinylSd,Gd,PConc,Gd,Unf,0,1694,1694,Ex,SBrkr,1694,0,0,1694,0,2,Gd,7,0,NA,Attchd,RFn,776,TA,160,33,245350
10852,Gilbert,6,2000,VinylSd,TA,PConc,Gd,GLQ,786,173,959,Ex,SBrkr,959,712,0,1671,1,2,TA,7,1,TA,Attchd,Fin,472,TA,0,38,173000
13728,Edwards,6,1935,Stucco,TA,CBlock,TA,Rec,626,501,1127,Ex,SBrkr,1236,872,0,2108,0,2,Gd,7,2,TA,Basment,Unf,540,TA,0,0,235000
35760,NoRidge,10,1995,HdBoard,Gd,PConc,Ex,GLQ,1387,543,1930,Ex,SBrkr,1831,1796,0,3627,1,3,Gd,10,1,TA,Attchd,Fin,807,TA,361,76,625000
4274,Somerst,7,2006,VinylSd,Gd,PConc,Gd,GLQ,1106,135,1241,Ex,SBrkr,1241,0,0,1241,1,1,Gd,4,0,NA,Attchd,Fin,569,TA,0,116,199900
9450,Edwards,4,1954,MetalSd,TA,CBlock,TA,LwQ,552,342,894,Ex,SBrkr,894,0,0,894,0,1,TA,5,0,NA,Detchd,Unf,400,TA,0,0,110000
8816,Sawyer,5,1963,VinylSd,TA,PConc,TA,Rec,651,470,1121,TA,SBrkr,1121,0,0,1121,1,1,TA,5,0,NA,Detchd,Unf,480,TA,0,80,139000
12122,NAmes,7,1961,CemntBd,Ex,CBlock,TA,ALQ,867,77,944,Gd,SBrkr,999,0,0,999,1,1,Ex,6,0,NA,Attchd,RFn,588,TA,144,76,178400
12203,NoRidge,8,1998,VinylSd,Gd,PConc,Gd,GLQ,854,371,1225,Ex,SBrkr,1276,1336,0,2612,1,2,Gd,8,1,TA,Attchd,Fin,676,TA,250,0,336000
3182,Blmngtn,7,2007,VinylSd,Gd,PConc,Gd,Unf,0,1266,1266,Ex,SBrkr,1266,0,0,1266,0,2,Gd,6,1,Gd,Attchd,Fin,388,TA,100,16,159895
11250,CollgCr,8,2002,CemntBd,Gd,PConc,Gd,Unf,0,1128,1128,Ex,SBrkr,1149,1141,0,2290,0,2,Gd,9,1,Gd,Attchd,Unf,779,TA,0,0,255900
10125,Mitchel,5,1977,Plywood,TA,CBlock,NA,NA,0,0,0,TA,SBrkr,1302,432,0,1734,0,2,Gd,8,0,NA,Attchd,Unf,539,TA,0,0,126000
10880,Edwards,5,1950,MetalSd,TA,CBlock,TA,ALQ,1040,124,1164,TA,SBrkr,1164,0,0,1164,1,1,TA,5,0,NA,Detchd,Unf,240,TA,0,48,125000
5310,OldTown,6,1910,VinylSd,TA,CBlock,TA,Unf,0,485,485,Gd,SBrkr,1001,634,0,1635,0,1,Gd,5,0,NA,Attchd,Unf,255,Fa,394,0,117000
10159,NridgHt,9,2009,VinylSd,Ex,PConc,Ex,GLQ,1646,284,1930,Ex,SBrkr,1940,0,0,1940,1,2,Ex,8,1,Gd,Attchd,Fin,606,TA,168,95,395192
7406,CollgCr,7,2006,VinylSd,Gd,PConc,Gd,GLQ,684,515,1199,Ex,SBrkr,1220,0,0,1220,1,2,Gd,6,0,NA,Attchd,RFn,632,TA,105,54,194000
9439,OldTown,5,1930,Wd Sdng,TA,CBlock,TA,LwQ,324,588,912,Gd,FuseA,912,336,0,1248,0,1,TA,6,0,NA,Detchd,Unf,160,Fa,0,0,87000
3182,Blmngtn,7,2005,VinylSd,Gd,PConc,Gd,GLQ,16,1330,1346,Ex,SBrkr,1504,0,0,1504,0,2,Gd,7,1,Gd,Attchd,Fin,437,TA,156,20,191000
15498,Timber,8,1976,Stone,Gd,CBlock,Gd,ALQ,1165,0,1565,TA,SBrkr,2898,0,0,2898,1,2,Gd,10,1,Gd,Attchd,Fin,665,TA,0,72,287000
7700,CollgCr,5,1972,VinylSd,TA,CBlock,TA,LwQ,138,276,882,TA,SBrkr,882,0,0,882,1,1,TA,5,0,NA,Detchd,Unf,461,TA,96,0,112500
9300,NAmes,5,1960,MetalSd,TA,CBlock,TA,Rec,697,571,1268,TA,SBrkr,1264,0,0,1264,1,1,TA,6,2,Gd,Attchd,Unf,461,TA,0,0,167500
9520,Timber,8,2007,VinylSd,Gd,PConc,Gd,GLQ,1513,125,1638,Ex,SBrkr,1646,0,0,1646,1,2,Gd,7,1,Gd,Attchd,RFn,800,TA,192,44,293077
9492,NAmes,5,1941,WdShing,TA,CBlock,TA,Rec,368,359,768,TA,SBrkr,968,408,0,1376,1,1,TA,6,1,Gd,Attchd,Unf,240,TA,0,0,105000
1680,BrDale,6,1972,HdBoard,TA,CBlock,TA,BLQ,317,355,672,Gd,SBrkr,672,546,0,1218,0,1,TA,7,0,NA,Detchd,Unf,264,TA,0,28,118000
7082,SWISU,5,1916,VinylSd,TA,PConc,TA,Unf,0,686,686,Gd,SBrkr,948,980,0,1928,0,2,TA,10,0,NA,NA,NA,0,NA,0,0,160000
15863,SWISU,7,1920,Wd Sdng,TA,BrkTil,TA,GLQ,523,301,824,Ex,SBrkr,1687,998,397,3082,1,2,TA,12,2,TA,Basment,Fin,672,TA,136,63,197000
14000,ClearCr,7,1996,Wd Sdng,Gd,PConc,Ex,GLQ,1201,105,1306,Ex,SBrkr,1306,954,0,2260,1,2,Gd,7,0,NA,Attchd,RFn,533,TA,296,44,328000
7837,Gilbert,6,1993,VinylSd,Gd,PConc,Gd,Unf,0,799,799,Gd,SBrkr,799,772,0,1571,0,2,TA,7,1,TA,Attchd,RFn,380,TA,0,40,178000
9760,NAmes,6,1964,HdBoard,TA,CBlock,TA,GLQ,674,0,780,TA,SBrkr,798,813,0,1611,1,1,TA,7,0,NA,Attchd,RFn,442,TA,328,128,167900
3964,MeadowV,6,1973,CemntBd,TA,CBlock,Gd,ALQ,837,105,942,Gd,SBrkr,1291,1230,0,2521,1,2,TA,10,1,Gd,Attchd,Fin,576,TA,728,20,151400
9600,NAmes,5,1949,MetalSd,TA,CBlock,TA,ALQ,220,625,845,TA,SBrkr,893,0,0,893,0,1,Gd,4,0,NA,Detchd,Unf,576,TA,0,0,135000
10152,NAmes,5,1956,MetalSd,TA,CBlock,TA,BLQ,586,462,1048,TA,SBrkr,1048,0,0,1048,1,1,TA,6,0,NA,Attchd,Unf,286,TA,0,20,135000
11700,NWAmes,6,1968,MetalSd,TA,CBlock,TA,Rec,298,429,727,Ex,SBrkr,829,727,0,1556,0,1,TA,8,0,NA,Attchd,Unf,441,TA,0,0,154000
7585,Edwards,5,1948,MetalSd,TA,CBlock,Fa,Unf,0,810,810,Fa,FuseA,1002,454,0,1456,1,1,TA,7,1,TA,Detchd,Unf,280,TA,0,0,91500
7950,Edwards,6,1977,HdBoard,TA,CBlock,TA,BLQ,535,155,690,TA,SBrkr,698,728,0,1426,0,1,TA,6,0,NA,Attchd,Fin,440,TA,252,0,159500
8556,CollgCr,7,2006,VinylSd,Gd,PConc,Gd,Unf,0,1240,1240,Ex,SBrkr,1240,0,0,1240,0,2,Gd,5,0,NA,Attchd,RFn,826,TA,140,93,194000
13125,Crawfor,7,1940,Wd Sdng,TA,CBlock,TA,BLQ,410,390,800,TA,SBrkr,960,780,0,1740,0,1,TA,6,2,Gd,Attchd,Unf,240,TA,0,0,219500
9600,OldTown,5,1925,VinylSd,TA,PConc,TA,Unf,0,702,702,Gd,SBrkr,842,630,0,1472,0,1,Gd,6,0,NA,Detchd,Unf,250,TA,0,0,125000
4500,Mitchel,6,1999,VinylSd,TA,PConc,Ex,GLQ,883,341,1224,Ex,SBrkr,1224,0,0,1224,1,2,TA,5,0,NA,Attchd,Fin,402,TA,0,304,165000
9364,Sawyer,6,1969,HdBoard,TA,CBlock,TA,ALQ,371,292,663,TA,SBrkr,663,689,0,1352,0,1,TA,7,0,NA,Attchd,Fin,299,TA,379,36,158000
8029,Gilbert,6,2005,VinylSd,TA,PConc,Gd,Unf,0,728,728,Ex,SBrkr,728,728,0,1456,0,2,Gd,8,0,NA,Attchd,Fin,400,TA,100,24,176000
14054,Gilbert,7,2006,VinylSd,Gd,PConc,Gd,Unf,0,879,879,Ex,SBrkr,879,984,0,1863,0,2,Gd,9,1,Gd,BuiltIn,Fin,660,TA,100,17,219210
8850,OldTown,7,1916,MetalSd,TA,BrkTil,TA,Unf,0,815,815,Ex,SBrkr,815,875,0,1690,0,1,TA,7,1,Gd,Detchd,Unf,225,TA,0,0,144000
9100,CollgCr,7,2001,VinylSd,Gd,PConc,Gd,Unf,0,1212,1212,Ex,SBrkr,1212,0,0,1212,0,2,Gd,6,0,NA,Attchd,RFn,573,TA,356,0,178000
11235,Sawyer,4,1963,HdBoard,TA,CBlock,TA,Rec,547,504,1051,Gd,SBrkr,1382,0,0,1382,0,1,TA,6,1,Po,Attchd,Unf,459,TA,0,82,148000
9353,NAmes,4,1970,MetalSd,TA,CBlock,TA,Unf,0,864,864,Gd,SBrkr,864,0,0,864,0,1,TA,5,0,NA,Attchd,Unf,280,TA,0,0,116050
10400,CollgCr,7,1998,VinylSd,TA,PConc,Gd,Unf,0,866,866,Ex,SBrkr,866,913,0,1779,0,2,Gd,6,0,NA,Attchd,RFn,546,TA,198,36,197900
6000,BrkSide,5,1925,Wd Sdng,TA,BrkTil,TA,Unf,0,884,884,Ex,SBrkr,884,464,0,1348,1,1,TA,5,1,Fa,Detchd,Unf,216,TA,0,0,117000
2628,NridgHt,7,2003,VinylSd,Gd,PConc,Gd,Unf,0,764,764,Ex,SBrkr,764,862,0,1626,0,2,Gd,6,0,NA,BuiltIn,RFn,474,TA,0,27,175500
12393,CollgCr,7,2004,VinylSd,Gd,PConc,Gd,Unf,0,847,847,Ex,SBrkr,847,1101,0,1948,0,2,Gd,8,1,Gd,BuiltIn,Fin,434,TA,100,48,195000
13072,SawyerW,6,2005,VinylSd,Gd,PConc,Gd,Unf,0,1141,1141,Ex,SBrkr,1141,0,0,1141,0,1,TA,6,0,NA,Detchd,Unf,484,TA,0,0,142500
9037,Timber,8,2006,VinylSd,Gd,PConc,Gd,GLQ,428,1048,1476,Ex,SBrkr,1484,0,0,1484,0,2,Ex,6,1,Gd,Attchd,RFn,472,TA,120,33,265900
8158,CollgCr,7,2003,VinylSd,Gd,PConc,Gd,GLQ,550,334,884,Ex,SBrkr,884,884,0,1768,1,2,Gd,8,0,NA,Attchd,RFn,543,TA,0,63,224900
9849,Somerst,7,2007,VinylSd,Gd,PConc,Gd,Unf,0,1689,1689,Ex,SBrkr,1689,0,0,1689,0,2,Gd,7,0,NA,Attchd,RFn,954,TA,0,56,248328
11625,Sawyer,5,1965,Plywood,TA,PConc,TA,BLQ,841,198,1039,Ex,SBrkr,1039,0,0,1039,1,1,TA,6,0,NA,Attchd,Unf,504,TA,0,0,131500
9672,SawyerW,6,1984,HdBoard,TA,PConc,Gd,GLQ,338,702,1040,TA,SBrkr,1097,0,0,1097,0,2,TA,6,0,NA,Attchd,Unf,480,TA,0,0,152000
7931,NAmes,5,1959,BrkFace,TA,CBlock,TA,BLQ,1148,0,1148,TA,SBrkr,1148,0,0,1148,1,1,TA,6,0,NA,Attchd,Unf,672,TA,0,0,132500
8640,Somerst,7,2007,VinylSd,Gd,PConc,Ex,Unf,0,1372,1372,Ex,SBrkr,1372,0,0,1372,0,2,Gd,6,0,NA,Attchd,Fin,529,TA,0,140,250580
8750,NAmes,5,1970,MetalSd,TA,CBlock,TA,BLQ,828,174,1002,TA,SBrkr,1002,0,0,1002,1,1,TA,5,0,NA,Detchd,Unf,902,TA,0,0,148500
10656,Timber,8,2006,VinylSd,Gd,PConc,Gd,Unf,0,1638,1638,Ex,SBrkr,1646,0,0,1646,0,2,Gd,6,1,Gd,Attchd,RFn,870,TA,192,80,248900
6970,Sawyer,4,1961,VinylSd,TA,CBlock,TA,ALQ,932,108,1040,TA,SBrkr,1120,0,0,1120,1,1,Fa,5,0,NA,Attchd,RFn,544,TA,168,0,129000
14762,Gilbert,5,1948,Plywood,TA,Slab,NA,NA,0,0,0,Gd,SBrkr,1547,720,53,2320,0,2,TA,7,1,TA,Attchd,Unf,672,TA,120,144,169000
9938,SawyerW,7,1993,MetalSd,Gd,PConc,Gd,GLQ,750,300,1050,Ex,SBrkr,1062,887,0,1949,1,2,Gd,8,1,TA,Attchd,Fin,574,TA,156,90,236000
6600,NAmes,5,1962,MetalSd,TA,CBlock,TA,Unf,0,894,894,Gd,SBrkr,894,0,0,894,0,1,TA,5,0,NA,Detchd,Unf,308,TA,0,0,109500
8750,CollgCr,6,1998,VinylSd,TA,PConc,Gd,GLQ,505,299,804,Ex,SBrkr,804,878,0,1682,0,2,Gd,7,0,NA,Attchd,RFn,523,TA,0,77,200500
8892,NAmes,5,1953,WdShing,Gd,Stone,TA,Unf,0,105,105,Gd,SBrkr,910,0,0,910,0,1,Gd,5,0,NA,Attchd,Unf,414,TA,196,0,116000
12144,NAmes,5,1949,HdBoard,Gd,CBlock,TA,Rec,375,457,832,Gd,SBrkr,1036,0,232,1268,0,1,TA,6,1,Gd,Attchd,Unf,288,TA,0,28,133000
5720,OldTown,5,1941,Wd Sdng,TA,CBlock,TA,Unf,0,676,676,Ex,SBrkr,676,455,0,1131,0,1,TA,5,0,NA,Detchd,Unf,200,TA,26,0,66500
9000,Somerst,8,2007,CemntBd,Gd,PConc,Gd,GLQ,64,1120,1184,Ex,SBrkr,1184,1426,0,2610,0,2,Ex,11,1,Gd,BuiltIn,Fin,550,TA,208,364,303477
25286,Mitchel,4,1963,HdBoard,TA,PConc,TA,ALQ,633,431,1064,Gd,SBrkr,1040,0,0,1040,1,1,TA,5,0,NA,Attchd,Unf,648,TA,0,0,132250
8834,NridgHt,9,2004,VinylSd,Gd,PConc,Ex,GLQ,1170,292,1462,Ex,SBrkr,1462,762,0,2224,1,2,Ex,10,1,Gd,Attchd,Fin,738,TA,184,0,350000
11782,Sawyer,5,1961,HdBoard,TA,CBlock,TA,ALQ,899,210,1109,TA,SBrkr,1155,0,0,1155,1,1,Gd,6,0,NA,Detchd,Unf,576,TA,192,0,148000
7000,CollgCr,5,1978,VinylSd,Gd,CBlock,TA,ALQ,646,218,864,Ex,SBrkr,864,0,0,864,1,1,TA,6,0,NA,Attchd,Unf,336,TA,0,0,136500
7024,Edwards,5,2005,VinylSd,TA,PConc,Ex,ALQ,980,110,1090,Gd,SBrkr,1090,0,0,1090,1,1,TA,5,0,NA,Attchd,Fin,450,TA,0,49,157000
13758,Timber,7,1990,HdBoard,Gd,CBlock,Gd,LwQ,902,254,1156,Ex,SBrkr,1187,530,0,1717,0,2,Gd,7,1,TA,Attchd,RFn,400,TA,168,36,187500
9636,Gilbert,6,1992,VinylSd,TA,PConc,Gd,Unf,0,808,808,Gd,SBrkr,808,785,0,1593,0,2,TA,7,1,TA,BuiltIn,RFn,389,TA,342,40,178000
6204,SWISU,4,1912,Wd Sdng,Gd,PConc,TA,Unf,0,795,795,TA,SBrkr,954,795,481,2230,1,1,TA,10,0,NA,Detchd,Unf,440,TA,0,188,118500
7150,NAmes,5,1967,HdBoard,TA,CBlock,TA,BLQ,432,460,892,TA,SBrkr,892,0,0,892,0,1,TA,5,0,NA,Attchd,RFn,288,TA,0,0,100000
5119,Somerst,9,1999,MetalSd,Gd,PConc,Ex,GLQ,1238,460,1698,Ex,SBrkr,1709,0,0,1709,1,2,Gd,5,1,TA,Attchd,Fin,506,TA,97,65,328900
8393,NAmes,5,1959,MetalSd,TA,CBlock,TA,LwQ,528,1098,1626,Ex,SBrkr,1712,0,0,1712,0,2,TA,8,0,NA,Attchd,Fin,588,TA,272,54,145000
16466,Edwards,5,1955,MetalSd,TA,PConc,TA,Unf,0,816,816,TA,SBrkr,872,521,0,1393,0,1,TA,8,0,NA,Attchd,Unf,300,TA,121,0,135500
15865,NAmes,8,1970,Wd Sdng,Gd,PConc,TA,ALQ,351,1043,2217,Ex,SBrkr,2217,0,0,2217,1,2,Gd,8,1,TA,Attchd,Unf,621,TA,81,207,268000
12160,NAmes,6,1953,Wd Sdng,TA,CBlock,TA,BLQ,1024,481,1505,Ex,SBrkr,1505,0,0,1505,1,1,TA,6,1,TA,Attchd,RFn,505,TA,0,0,149500
8064,NAmes,5,1949,MetalSd,TA,CBlock,TA,Unf,0,672,672,Ex,SBrkr,672,252,0,924,0,1,TA,6,1,Po,Detchd,Unf,576,TA,0,0,122900
11184,Sawyer,6,1978,HdBoard,TA,CBlock,TA,LwQ,226,192,918,Gd,SBrkr,918,765,0,1683,0,2,TA,7,1,TA,Attchd,RFn,440,TA,243,0,172500
8414,Sawyer,6,1963,HdBoard,TA,CBlock,TA,GLQ,663,396,1059,TA,SBrkr,1068,0,0,1068,0,1,TA,6,0,NA,Attchd,RFn,264,TA,192,0,154500
13284,Sawyer,5,1954,Wd Sdng,TA,PConc,Gd,BLQ,1064,319,1383,TA,SBrkr,1383,0,0,1383,1,1,TA,6,1,Gd,Attchd,Unf,354,TA,511,116,165000
7018,SawyerW,5,1979,Plywood,TA,Slab,NA,NA,0,0,0,TA,SBrkr,1535,0,0,1535,0,2,TA,8,0,NA,Attchd,Unf,400,TA,0,0,118858
7056,NAmes,6,1963,HdBoard,TA,CBlock,TA,BLQ,400,380,780,TA,SBrkr,983,813,0,1796,1,1,TA,8,1,TA,Attchd,RFn,483,TA,0,50,140000
8765,IDOTRR,4,1936,Wd Sdng,TA,BrkTil,TA,ALQ,285,666,951,Ex,SBrkr,951,0,0,951,0,1,TA,6,0,NA,Detchd,Unf,327,TA,0,28,106500
7018,SawyerW,5,1979,Plywood,TA,Slab,NA,NA,0,0,0,TA,SBrkr,1120,1120,0,2240,0,2,TA,12,0,NA,Detchd,Unf,528,TA,154,0,142953
12919,NridgHt,9,2009,VinylSd,Ex,PConc,Ex,GLQ,2188,142,2330,Ex,SBrkr,2364,0,0,2364,1,2,Ex,11,2,Gd,Attchd,Fin,820,TA,0,67,611657
6993,Sawyer,5,1961,HdBoard,TA,CBlock,TA,BLQ,465,447,912,TA,SBrkr,1236,0,0,1236,0,1,TA,6,1,TA,Attchd,Unf,288,TA,0,0,135000
7340,NAmes,4,1971,HdBoard,TA,CBlock,TA,ALQ,322,536,858,TA,SBrkr,858,0,0,858,0,1,TA,4,0,NA,Detchd,Unf,684,TA,0,0,110000
8712,NAmes,5,1957,MetalSd,TA,CBlock,TA,BLQ,860,132,992,TA,SBrkr,1306,0,0,1306,1,1,TA,5,0,NA,Detchd,Unf,756,TA,0,0,153000
7875,Gilbert,7,2003,VinylSd,Gd,PConc,Gd,Unf,0,783,783,Ex,SBrkr,807,702,0,1509,0,2,Gd,8,1,Gd,Attchd,Fin,393,TA,0,75,180000
14859,Gilbert,7,2006,VinylSd,Gd,PConc,Gd,Unf,0,1670,1670,Ex,SBrkr,1670,0,0,1670,0,2,Gd,7,1,Gd,Attchd,RFn,690,TA,144,60,240000
6173,Sawyer,5,1967,HdBoard,TA,CBlock,TA,GLQ,599,277,876,TA,SBrkr,902,0,0,902,0,1,TA,6,0,NA,Attchd,Unf,288,TA,0,0,125500
9920,NAmes,5,1954,HdBoard,TA,CBlock,TA,Rec,354,412,1056,TA,SBrkr,1063,0,0,1063,1,1,TA,6,0,NA,Attchd,RFn,280,TA,0,0,128000
13501,Somerst,8,2006,VinylSd,Gd,PConc,Gd,GLQ,63,1560,1623,Ex,SBrkr,1636,0,0,1636,1,2,Gd,8,1,Gd,Attchd,RFn,865,TA,0,60,255000
11500,Crawfor,7,1936,BrkFace,Gd,CBlock,Gd,Rec,223,794,1017,Gd,SBrkr,1020,1037,0,2057,0,1,Gd,6,1,Gd,Attchd,Fin,180,Fa,0,0,250000
8885,Mitchel,5,1983,HdBoard,TA,CBlock,Gd,BLQ,301,239,864,TA,SBrkr,902,0,0,902,1,1,TA,5,0,NA,Attchd,Unf,484,TA,164,0,131000
12589,Gilbert,6,2005,VinylSd,Gd,PConc,Gd,Unf,0,742,742,Ex,SBrkr,742,742,0,1484,0,2,Gd,8,1,Gd,Attchd,Fin,390,TA,36,24,174000
11600,NAmes,5,1960,MetalSd,TA,CBlock,TA,Rec,443,662,1105,TA,FuseA,1105,1169,0,2274,0,2,TA,12,0,NA,Detchd,Unf,480,TA,0,0,154300
9286,CollgCr,5,1977,HdBoard,TA,CBlock,Gd,ALQ,196,1072,1268,TA,SBrkr,1268,0,0,1268,0,1,Gd,5,0,NA,Detchd,Unf,252,TA,173,0,143500
6120,BrkSide,5,1925,MetalSd,TA,BrkTil,TA,Rec,489,279,768,TA,SBrkr,1015,0,0,1015,0,1,TA,6,0,NA,Detchd,Unf,450,TA,0,0,88000
6270,Crawfor,5,1949,MetalSd,TA,CBlock,TA,BLQ,284,717,1001,TA,FuseA,1001,1001,0,2002,0,2,TA,8,0,NA,2Types,Unf,871,TA,0,0,145000
3000,Somerst,6,2009,VinylSd,Gd,PConc,Gd,GLQ,294,318,612,Ex,SBrkr,612,612,0,1224,0,2,Gd,4,0,NA,Detchd,RFn,528,TA,0,234,173733
2001,MeadowV,4,1970,CemntBd,TA,CBlock,TA,Unf,0,546,546,Fa,SBrkr,546,546,0,1092,0,1,TA,6,0,NA,Attchd,Unf,286,TA,0,0,75000
9000,IDOTRR,2,1949,AsbShng,TA,CBlock,TA,BLQ,50,430,480,TA,FuseA,480,0,0,480,1,0,TA,4,0,NA,Detchd,Unf,308,TA,0,0,35311
17140,Edwards,4,1956,VinylSd,TA,CBlock,TA,ALQ,1059,75,1134,Ex,FuseA,1229,0,0,1229,0,1,TA,6,0,NA,Attchd,RFn,284,TA,0,0,135000
13125,SawyerW,7,1991,HdBoard,Gd,PConc,Ex,BLQ,48,422,1104,Ex,SBrkr,912,1215,0,2127,1,2,Gd,8,1,TA,Attchd,RFn,833,TA,72,192,238000
11029,NAmes,6,1958,MetalSd,Ex,CBlock,Gd,ALQ,528,245,1184,Ex,SBrkr,1414,0,0,1414,1,1,TA,6,1,TA,Attchd,Unf,601,TA,0,51,176500
8462,SawyerW,6,1994,HdBoard,Gd,PConc,Gd,GLQ,814,114,928,Ex,SBrkr,936,785,0,1721,0,2,Gd,7,0,NA,Attchd,RFn,471,TA,300,87,201000
8777,Edwards,5,1900,MetalSd,TA,CBlock,TA,ALQ,1084,188,1272,Gd,SBrkr,1272,928,0,2200,2,2,TA,9,0,NA,NA,NA,0,NA,0,70,145900
10237,Gilbert,6,2005,VinylSd,Gd,PConc,Gd,GLQ,28,1288,1316,Ex,SBrkr,1316,0,0,1316,0,2,Gd,6,1,Gd,Attchd,Fin,397,TA,100,0,169990
8012,SawyerW,6,1993,Plywood,Gd,PConc,Gd,LwQ,165,598,1604,Ex,SBrkr,1617,0,0,1617,1,2,Gd,5,1,Fa,Attchd,RFn,533,TA,0,69,193000
